,label,min_A,min_B,min_C,min_D,path
0,A,438286.58568242786,1076547.042798927,484726.3448365962,792072.4041830031,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\27.jpg
0,A,431109.0201307165,1049923.8619761665,579512.439646286,829556.7873894635,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\28.jpg
0,A,437950.0273740847,1058387.2798462168,479360.6446751199,787672.1964321382,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\29.jpg
0,A,431082.9192464411,1027147.7466359128,464535.935655512,746086.576824295,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\3.jpg
0,A,479670.7080199907,1131516.6264206113,720048.1310419042,1011257.9284429061,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\30.jpg
0,A,433057.0654363688,1038620.2066589807,467263.82262206345,751754.496470585,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\31.jpg
0,A,458921.0754171455,1108411.2986082314,502409.3662437477,812241.7118339071,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\32.jpg
0,A,435091.8561322551,1034360.2499346436,480766.46737408155,771014.2157170287,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\33.jpg
0,A,428468.6813533233,1044476.4311111147,463022.31781621947,766662.526305264,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\34.jpg
0,A,435681.29440984013,1060964.9127258777,484858.88278353977,784156.1817301007,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\35.jpg
0,A,535291.094963474,1194161.4660976604,525672.698700495,831232.9246443643,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\36.jpg
0,A,442378.0195309474,1050060.8728642864,467713.9067435549,764657.0183467866,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\37.jpg
0,A,428881.39006535744,1065640.8336486004,488865.7162783493,778550.8596385978,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\38.jpg
0,A,458822.50386774144,1104336.1691195732,526975.7863283305,835027.4667896936,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\39.jpg
0,A,430771.83244905586,1040666.6670511374,467511.20439830323,748579.5662129916,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\4.jpg
0,A,426343.9638446727,1020497.13459439,469901.7547097221,747577.0114263709,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\40.jpg
0,A,537812.5152172226,1134071.190895812,575357.4727412495,877767.5947712394,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\41.jpg
0,A,445521.90111495386,1115518.469819304,504267.44633601984,812492.753986925,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\42.jpg
0,A,530207.1293348692,1116964.4663590963,496628.98732794606,801082.0492118385,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\43.jpg
0,A,501131.8568089182,1327562.8767089632,620798.1510188349,983261.9182314483,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\44.jpg
0,A,430864.81497885234,1022713.8642829709,480480.08282967587,754764.2614379051,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\45.jpg
0,A,519867.1216301399,1144715.62903499,576766.1173548595,928019.2517954608,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\46.jpg
0,A,432278.505713185,1044976.5345943897,484382.14732794557,774729.5059592433,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\47.jpg
0,A,439156.5180930389,1064759.6728642867,483985.8246520518,772010.1414840413,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\48.jpg
0,A,420091.62336024386,1023677.1942022333,467215.537962317,760974.3082352908,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\49.jpg
0,A,465500.2607766225,1105474.7785159587,489887.37533255963,780332.3493733151,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\5.jpg
0,A,471777.8701114934,1001081.2996232256,492462.07835447404,768041.6709419439,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\50.jpg
0,A,459527.5550788139,1202798.001537875,512773.71549403615,817022.2009688556,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\51.jpg
0,A,424399.5337793132,1004588.5508958128,450767.18732794555,734204.1522491317,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\52.jpg
0,A,469158.91637062497,1129757.657639373,510532.38935793476,812838.9532948836,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\53.jpg
0,A,439273.6290964995,1082352.9236139976,492835.92066127894,782653.604505956,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\54.jpg
0,A,443228.865359475,1069377.2679738596,479141.70951172156,767410.8120261407,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\55.jpg
0,A,431663.9677816205,1066588.315217228,478740.69851595035,777485.2175624727,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\56.jpg
0,A,440828.66073048627,1082095.8067973894,486259.3471434017,782236.1696731993,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\57.jpg
0,A,427832.5540176838,1048863.0209611724,470379.2140407486,758407.7615993816,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\58.jpg
0,A,421927.15620145906,1013380.8367858548,464155.84215301287,751360.9116801197,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\59.jpg
0,A,427557.0689580908,1018831.2790003876,468212.8628219865,759028.9309188743,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\6.jpg
0,A,425266.75009611476,1054950.871587854,467179.63029603485,758277.4598692778,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\60.jpg
0,A,474351.61999230884,1122499.7862668242,525526.5224144512,836079.2758477479,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\61.jpg
0,A,434211.03590926377,1049899.824575167,478010.15364859154,753345.8929949986,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\62.jpg
0,A,425865.6206843499,1045724.2687120371,478332.3390388263,766623.808150708,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\63.jpg
0,A,421123.332026141,1017445.4313417941,365947.08467512095,672597.313771623,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\64.jpg
0,A,424012.9038677412,1005104.5555555586,465753.36201460456,748290.3222145295,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\65.jpg
0,A,478567.2625759304,1127631.5450672857,530090.0193002647,833986.5626605122,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\66.jpg
0,A,431420.9461745458,1068745.7931564816,471097.53025758814,758840.4159938453,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\67.jpg
0,A,433144.11088042834,1062943.0451826253,475416.35703190573,773619.3552941144,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\68.jpg
0,A,536450.579807764,1196567.4632833567,614071.8090734292,942073.0850134541,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\69.jpg
0,A,432530.3213994597,1043572.8720030789,469787.37094962975,748744.5234448259,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\7.jpg
0,A,451742.07904651854,1108845.9738562126,537313.6670665081,836178.1980007661,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\70.jpg
0,A,421712.2440445959,1005036.8562552899,472812.3238908062,745685.1791311003,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\71.jpg
0,A,436888.00215301634,1060053.4933025795,486937.03692425496,772960.4186851179,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\72.jpg
0,A,556557.5453902325,1331775.508450601,632438.615609378,1002447.5569857724,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\73.jpg
0,A,433108.8510111472,1052948.6185620949,477990.5513417868,770293.671311031,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\74.jpg
0,A,413956.68684351956,1025648.4848135364,468225.8491503216,765744.5847750833,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\75.jpg
0,A,430379.2332948847,1046456.6250211492,755656.7614917327,1029251.4474125317,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\76.jpg
0,A,490926.41760861035,1087597.6811687846,499073.7237985341,822500.6812302936,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\77.jpg
0,A,433710.8958861955,1064770.7978931214,480402.61247212073,773253.1284429033,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\78.jpg
0,A,448676.25911572244,1084379.5754248395,506891.5196462853,816632.4031833882,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\79.jpg
0,A,433695.22645136283,1062184.7943560206,470417.59255670384,756774.2579776978,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\8.jpg
0,A,440225.0826605132,1006792.8404767433,509616.09820837644,762548.185359476,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\80.jpg
0,A,432046.5259361761,933941.043106501,485612.4905959197,644114.2369396376,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\81.jpg
0,A,426924.38300653425,1039191.2903037327,488181.5826220636,783768.3670588203,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\82.jpg
0,A,420600.10033064027,1045958.9069127293,467204.75693963346,769252.2349557831,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\83.jpg
0,A,541218.5508958076,1215796.3717339535,539012.2968089149,859929.4670203737,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\84.jpg
0,A,426096.336024604,1023834.5430526752,477234.0250672767,761300.9047597046,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\85.jpg
0,A,528813.2912725856,1156026.0243291077,521869.09251825744,841898.5746712774,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\86.jpg
0,A,428213.651503266,1038106.304236835,477690.3030065312,766676.4584851948,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\87.jpg
0,A,467032.0757400981,1120071.5763168049,534663.547189538,843581.3714263715,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\88.jpg
0,A,425613.150941943,1036523.9432833556,463059.81085735763,758885.6581622418,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\89.jpg
0,A,420449.5775470952,1037863.2407996954,478442.0811226397,762815.0588542835,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\9.jpg
0,A,428192.05588619533,1064166.6283429484,471936.8889657775,761490.639477121,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\90.jpg
0,A,501301.34702037484,1174015.79757017,525730.7950019176,845797.9928027653,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\91.jpg
0,A,508900.7899269489,1316412.8585620967,641506.1248750443,948169.5165397902,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\92.jpg
0,A,436223.1619223355,1049619.0977777813,478216.65484044096,767893.2445674706,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\93.jpg
0,A,428015.84006151295,1057480.6151480235,476924.8824298296,781346.0944713539,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\94.jpg
0,A,439131.26885043975,1037781.7293810102,492364.23813917243,786716.15712418,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\95.jpg
0,A,429280.7655517086,1060772.1745943895,469689.7865436319,761717.8164090703,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\96.jpg
0,A,474256.74608227436,1183801.8266359132,560831.0497500919,894294.7213840806,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\97.jpg
0,A,432698.5424836583,1057843.6301883925,477059.9840061467,753088.6955017268,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\98.jpg
0,A,442361.59730872564,1054996.4893810104,422366.05405612953,680237.9988773535,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\A\99.jpg
0,B,493447.9182622039,349772.93553248723,642370.4718646643,774578.3840830441,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\0.jpg
0,B,406083.01336408727,230895.40195309412,666068.0209150285,729751.93359477,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\1.jpg
0,B,445179.022299112,377368.9943560163,475650.61045751336,635991.6835832356,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\10.jpg
0,B,448708.10778930836,439597.690303729,453458.42423682916,655437.7412533631,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\100.jpg
0,B,411220.4722798886,249159.22755863043,604936.4838908069,726189.458162244,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\101.jpg
0,B,527583.5202614348,400702.920907343,544912.4560246025,737313.0392464423,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\102.jpg
0,B,415480.3820838101,268789.93607074145,592240.8046289844,719371.0745866965,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\103.jpg
0,B,427722.4379853869,315355.4227143397,586776.7618300619,727368.7919723177,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\104.jpg
0,B,410318.4632679702,256796.56335255623,626789.2732026104,742943.2858439054,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\105.jpg
0,B,719166.444121487,240631.09293348645,628531.3034986503,704955.970657438,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\106.jpg
0,B,538046.7527412502,402625.31583237165,583256.586051515,771109.6539792368,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\107.jpg
0,B,421833.93797769723,250254.5048519795,611470.2232679693,728036.3663975381,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\108.jpg
0,B,401834.0698808115,262725.1526797379,631650.272602841,733460.2698961926,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\109.jpg
0,B,424404.3954940372,324086.3625989998,570437.2604536682,735141.6798615898,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\11.jpg
0,B,518492.7625528621,400610.85110342153,623288.7400384434,819815.1822837365,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\110.jpg
0,B,456345.10963475227,412091.0470280647,442432.481368701,612782.6065820819,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\111.jpg
0,B,430258.8758169903,266766.69860822713,590800.5368089153,742349.4052595145,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\112.jpg
0,B,513672.2993464025,370795.8940868893,559330.2723721612,719530.6242522091,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\113.jpg
0,B,434237.61128796294,313024.48099961504,531495.5458054559,694998.8431833886,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\114.jpg
0,B,415423.81782391045,253846.0042291421,658993.5302729676,724252.2078738933,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\115.jpg
0,B,472596.78137639037,403958.7683660126,486883.9187697,679607.2660053808,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\116.jpg
0,B,408320.5097270246,249718.69700884205,607704.2606074548,718977.1922337553,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\117.jpg
0,B,466457.41560937796,397801.59410995746,617640.1755632423,767005.2466282183,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\118.jpg
0,B,399981.3320568974,256939.77727027994,639504.4322183729,735866.8031833902,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\119.jpg
0,B,400924.3775470938,254640.24951941505,632501.6271587812,745292.9478969619,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\12.jpg
0,B,402241.70156093466,243910.36951941502,647220.5725182579,723225.0466282188,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\120.jpg
0,B,703902.5858054543,248540.1934179152,639939.176439827,736274.181437907,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\121.jpg
0,B,430172.90594386467,245897.4894271429,646385.9467281776,736411.626328334,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\122.jpg
0,B,688178.7224759662,279329.6666359089,589930.625574775,732635.3633217984,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\123.jpg
0,B,435732.08907343005,271862.2839369469,588452.02314494,740628.0785544009,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\124.jpg
0,B,437148.2028758141,273933.37482506654,613716.8498423647,734630.7505882344,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\125.jpg
0,B,429258.58854286495,270701.18903498584,488785.23291041417,632659.4507958472,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\126.jpg
0,B,649938.8971780041,306117.7322106875,610021.949865432,705183.9004229137,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\127.jpg
0,B,407453.4501191817,240728.28201460908,642382.2498423645,730957.8719723176,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\128.jpg
0,B,417652.8443675474,258927.92805843824,663222.7960476702,729776.2187620137,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\129.jpg
0,B,413358.96347558295,248570.41599384777,621963.4234986508,721340.5689811601,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\13.jpg
0,B,434856.5786082243,340270.4973779312,561915.9877124152,728570.677308727,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\130.jpg
0,B,448729.8363706236,350600.0771703185,515936.6180084547,712768.0622837355,C:/Users/ajtis/Documents/Master/Thesis/pythonProject/Labeled_multiple_choice\B\131.jpg
